porst	va	vb	vbg	vc	l17	l18	l19	l20	amp/vg	amp/vq	amp/vx	VNW	VDDPST	POC	VDDCE	VDDPE	VPW	VSSPST	VSSE	BGR_Core/vbneg	BGR_Core/l6	BGR_Core/l7	BGR_Core/l8	BGR_Core/l10	BGR_Core/l11	BGR_Core/l1	BGR_Core/l2	BGR_Core/l4	BGR_Core/l5	BGR_Core/l12	BGR_Core/R6/l	BGR_Core/R7/l	BGR_Core/R8/l	BGR_Core/R10/l	BGR_Core/R11/l	BGR_Core/R3/l	BGR_Core/R1/l	BGR_Core/R2/l	BGR_Core/R4/l	BGR_Core/R5/l	BGR_Core/R12/l	R17/l	R18/l	R19/l	R20/l	VDD	amp/VDD	CM/VDD	VSS	amp/VSS
4	11	5	7	6	16	2	13	18	15	5	18	9	17	11	10	14	15	17	3	7	18	13	8	9	6	9	11	6	7	19	10	19	2	7	9	15	7	9	19	6	20	7	9	18	11	2	16	8	3	15
4	11	5	7	6	16	2	13	18	15	5	18	9	17	11	10	14	15	17	3	7	18	13	8	9	6	9	11	6	7	19	10	19	2	7	9	15	7	9	19	6	20	7	9	18	11	2	16	8	3	15
12	9	4	15	4	5	20	6	6	19	2	16	14	20	15	10	6	13	18	3	19	13	5	6	15	20	13	5	19	15	10	17	14	4	14	9	7	14	20	4	10	3	18	14	19	2	17	9	10	3	10
6	19	13	4	3	3	8	12	7	3	9	15	15	20	12	3	14	20	15	9	7	17	4	10	7	16	18	17	14	2	3	17	12	12	16	3	16	8	19	4	6	10	14	14	12	2	7	2	2	18	7
7	6	2	12	8	3	14	3	11	4	6	12	13	4	15	3	16	13	10	12	20	16	15	9	11	20	17	8	13	4	13	5	14	2	6	2	15	14	3	12	18	19	17	17	4	3	19	15	3	2	10
8	4	20	6	12	10	11	16	12	18	15	17	12	10	18	11	16	19	12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18
8	4	20	6	12	10	11	16	12	18	15	17	12	10	18	11	16	19	12	14	12	14	10	2	8	16	11	14	15	6	7	17	8	7	8	4	10	18	18	7	20	7	17	5	17	9	15	7	5	3	18
13	7	6	6	13	16	19	6	4	18	13	19	12	17	14	13	16	12	19	20	19	14	15	9	20	4	6	12	13	11	13	18	13	3	14	5	6	10	8	6	7	5	17	17	6	10	10	6	3	7	18
5	20	5	18	6	16	6	11	10	5	10	15	4	10	16	12	17	18	3	12	14	14	19	7	19	14	7	3	6	18	16	4	15	3	16	8	10	10	4	19	6	5	17	7	11	3	8	10	8	7	14
16	7	5	3	16	18	18	19	20	19	12	15	12	12	9	9	17	18	18	4	17	6	6	4	19	2	6	5	6	12	11	8	8	7	9	7	13	4	8	18	15	8	15	3	9	20	6	16	2	20	7
12	5	5	5	11	11	20	13	7	2	17	14	14	8	4	15	10	17	15	17	14	6	15	8	15	8	10	4	6	16	12	13	11	16	12	9	7	16	6	12	9	17	6	5	19	20	16	12	7	4	12
7	14	18	14	8	14	19	19	17	5	6	4	19	2	4	2	9	14	16	10	15	13	14	10	4	7	20	9	8	3	3	18	4	16	9	16	6	18	11	2	6	13	13	13	11	18	10	6	2	17	8
7	14	18	14	8	14	19	18	17	5	6	4	19	2	4	2	9	14	16	10	15	13	14	10	4	7	20	9	8	3	3	18	4	16	9	16	6	18	11	2	6	13	13	13	11	18	10	6	2	17	8
4	6	15	7	8	20	2	13	19	17	6	10	4	10	9	2	6	8	20	2	15	6	6	17	19	3	18	12	9	7	16	12	16	9	10	8	5	13	17	10	13	19	20	11	8	11	19	14	4	7	14
4	6	15	7	8	20	2	13	19	17	6	10	4	10	9	2	6	8	20	2	15	6	6	17	19	3	18	12	9	7	16	12	16	9	10	8	5	13	17	10	13	19	20	11	8	11	19	14	4	7	14
13	15	9	19	2	18	18	5	3	20	13	3	13	7	12	10	17	17	15	2	9	17	13	15	3	17	18	7	14	11	20	18	8	2	16	7	16	12	20	12	15	20	6	18	15	14	9	13	14	11	9
5	17	9	18	3	2	20	4	16	10	20	10	19	14	7	9	5	20	18	7	17	9	2	9	6	6	6	20	7	4	5	10	5	10	16	20	10	20	15	3	4	6	16	3	13	12	10	15	14	2	11
5	17	9	18	3	2	20	4	16	10	20	10	19	14	7	9	5	20	18	7	17	9	2	9	6	6	6	20	7	4	5	10	5	10	16	20	10	20	15	3	4	6	16	3	13	12	10	15	14	2	11
4	11	17	11	19	17	18	7	8	19	7	3	11	18	19	6	13	17	3	4	10	6	10	20	16	8	5	18	15	14	10	10	6	20	9	9	20	20	13	4	6	12	17	19	3	20	3	13	11	11	11
13	15	9	19	2	18	18	5	3	20	13	3	13	7	12	10	17	17	15	2	9	17	13	7	3	17	18	7	14	11	20	17	8	2	16	7	16	12	20	12	15	20	6	18	15	14	9	13	14	11	9
6	6	9	12	18	9	9	7	11	13	15	3	6	2	14	4	4	6	15	11	19	15	6	20	15	11	13	4	9	16	13	18	3	14	15	2	15	12	16	8	13	11	17	4	7	5	10	5	19	6	16
6	6	9	12	18	9	9	7	11	13	15	3	6	2	14	4	4	6	15	11	19	15	6	20	15	11	13	4	9	16	13	18	3	14	15	2	15	12	16	8	13	11	17	4	7	5	10	5	19	6	16
5	4	12	13	5	17	3	6	18	11	3	2	14	12	7	19	6	7	7	7	9	12	2	17	14	3	9	9	11	12	7	9	13	9	7	15	16	13	20	6	14	20	2	7	20	2	14	7	6	2	2
12	5	11	6	14	11	5	18	8	3	14	16	13	8	16	13	4	3	3	17	10	2	18	20	20	8	9	4	18	18	15	18	11	5	6	15	20	15	4	5	15	4	5	15	6	2	16	15	15	2	17
4	15	18	19	15	5	4	20	16	12	7	11	9	15	11	3	2	2	10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9
