porst	va	vb	vbg	vc	l17	l18	l19	l20	amp/vg	amp/vq	amp/vx	VNW	VDDPST	POC	VDDCE	VDDPE	VPW	VSSPST	VSSE	BGR_Core/vbneg	BGR_Core/l6	BGR_Core/l7	BGR_Core/l8	BGR_Core/l10	BGR_Core/l11	BGR_Core/l1	BGR_Core/l2	BGR_Core/l4	BGR_Core/l5	BGR_Core/l12	BGR_Core/R6/l	BGR_Core/R7/l	BGR_Core/R8/l	BGR_Core/R10/l	BGR_Core/R11/l	BGR_Core/R3/l	BGR_Core/R1/l	BGR_Core/R2/l	BGR_Core/R4/l	BGR_Core/R5/l	BGR_Core/R12/l	R17/l	R18/l	R19/l	R20/l	VDD	VSS
10	8	5	20	12	9	20	19	13	7	6	12	2	20	3	20	6	13	13	11	11	12	17	14	15	7	2	6	20	3	16	6	12	2	17	10	8	4	19	15	10	7	18	7	4	7	20	5
10	8	5	20	12	9	20	19	13	7	6	12	2	20	3	20	6	13	13	11	11	12	17	14	15	7	2	6	20	3	16	6	12	2	17	10	8	4	19	15	10	7	18	7	4	7	20	5
20	19	14	8	11	5	16	10	9	10	11	4	13	6	16	2	14	16	3	11	18	15	16	20	18	8	7	2	10	5	14	10	8	17	17	10	18	14	6	17	10	7	2	8	12	10	5	2
20	19	14	8	11	5	16	10	9	10	11	4	13	6	16	2	14	16	3	11	18	15	16	20	18	8	7	2	10	5	14	10	8	17	17	10	18	14	6	17	10	7	2	8	12	10	5	2
15	9	3	20	17	6	5	13	11	13	8	3	19	7	17	18	18	11	7	17	2	10	12	6	13	5	19	4	4	12	20	5	9	2	5	9	4	5	3	9	13	12	17	8	7	9	19	9
6	2	8	11	17	11	4	2	9	2	20	18	18	6	15	10	5	8	16	10	11	14	14	17	12	9	17	10	13	7	6	15	20	6	19	4	18	17	15	12	14	9	8	15	20	13	3	5
10	14	9	16	18	19	13	7	15	2	20	15	9	11	13	18	12	17	16	10	13	10	7	7	9	16	12	2	13	17	11	9	2	5	16	18	7	8	14	12	19	6	3	17	15	16	16	13
6	18	4	8	11	18	5	3	6	12	3	12	7	16	14	8	15	17	8	7	14	3	12	18	8	12	7	18	19	20	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16
6	18	4	8	11	18	5	3	6	12	3	12	7	16	14	8	15	17	8	7	14	3	12	18	8	12	7	18	19	20	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16
4	12	3	19	10	6	9	17	13	11	13	20	6	11	14	15	4	2	8	12	7	9	9	16	14	20	15	3	14	20	15	3	7	16	4	10	7	16	18	17	19	2	3	17	12	11	16	3
4	12	3	19	10	6	9	17	13	11	13	20	6	11	14	15	4	2	8	12	7	9	9	16	14	20	15	3	14	20	15	3	7	16	4	10	7	16	18	17	19	2	3	17	12	11	16	3
4	12	3	19	10	6	9	17	13	11	13	20	6	11	14	15	4	2	8	12	7	9	9	16	14	20	15	3	14	20	15	3	7	16	4	10	7	16	18	17	19	2	3	17	12	11	16	3
4	12	3	19	10	6	9	17	13	11	13	20	6	11	14	15	4	2	8	12	7	9	9	16	14	20	15	3	14	20	15	3	7	16	4	10	7	16	18	17	19	2	3	17	12	11	16	3
6	13	16	4	17	8	11	2	16	16	2	8	11	5	11	19	6	15	17	4	17	9	19	14	10	2	5	10	3	2	10	14	18	20	14	16	5	10	13	11	8	4	3	4	10	11	19	12
6	13	16	4	17	8	11	2	16	16	2	8	11	5	11	19	6	15	17	4	17	9	19	14	10	2	5	10	3	2	10	14	18	20	14	16	5	10	13	11	8	4	3	4	10	11	19	12
6	13	16	4	17	8	11	2	16	16	2	8	11	5	11	19	6	15	17	4	17	9	19	14	10	2	5	10	3	2	10	14	18	20	14	16	5	10	13	11	8	4	3	4	10	11	19	12
6	13	16	4	17	8	11	2	16	16	2	8	11	5	11	19	6	15	17	4	17	9	19	14	10	2	5	10	3	2	10	14	18	20	14	16	5	10	13	11	8	4	3	4	10	11	19	12
3	8	2	13	17	14	2	18	4	4	17	2	13	3	5	2	10	11	9	6	20	11	8	5	15	16	12	14	7	12	15	15	6	16	6	18	12	6	8	7	16	13	14	15	17	14	9	8
3	8	2	13	17	14	2	18	4	4	14	2	13	3	5	2	10	11	9	6	20	11	8	5	15	16	12	14	7	12	15	15	6	16	6	18	12	6	8	7	16	13	14	15	17	14	9	8
3	8	2	13	17	14	2	18	4	4	14	2	13	3	5	2	10	11	9	6	20	11	8	5	15	16	12	14	7	12	15	15	6	16	6	18	12	6	8	7	16	13	14	15	17	14	9	8
3	8	2	13	17	14	2	19	4	4	14	2	13	3	5	2	10	11	9	6	20	11	8	5	15	16	12	14	7	12	15	15	6	8	6	18	12	6	8	7	16	13	14	15	17	14	9	8
8	12	5	4	12	12	19	16	12	10	2	18	3	8	13	4	8	18	13	8	8	10	11	11	18	14	10	17	13	9	3	11	19	4	2	16	17	16	3	15	17	16	16	5	4	4	9	5
8	12	5	4	12	12	19	16	12	10	2	18	3	8	13	4	8	18	13	8	8	10	11	11	18	14	10	17	13	9	3	11	19	4	2	16	17	16	3	15	17	16	16	5	4	4	9	5
8	12	5	4	12	12	19	16	12	10	2	18	3	8	13	4	8	18	13	8	8	10	11	11	18	14	10	17	13	9	3	11	19	4	2	16	17	16	3	15	17	16	16	5	4	4	9	5
5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	11	20	6	14	7	16	20	18	15	4	20	14	12
5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	11	20	6	14	7	16	20	18	15	4	20	14	12
3	16	16	8	11	20	16	15	6	16	16	10	8	14	10	10	5	5	2	14	2	19	3	12	12	15	5	17	17	4	3	16	17	10	11	18	20	4	11	14	5	17	3	10	18	11	3	2
16	13	7	10	13	19	8	8	16	12	6	10	19	2	4	12	11	12	3	4	2	11	5	7	10	8	18	19	13	16	4	15	18	19	15	5	4	20	16	12	7	11	9	15	11	3	2	2
16	13	7	10	13	19	8	8	16	12	6	10	19	2	4	12	11	12	3	4	2	11	5	7	10	8	18	19	13	16	4	15	18	19	15	5	4	20	16	12	7	11	9	15	11	3	2	2
16	13	7	10	13	19	8	8	16	12	6	10	19	2	4	12	11	12	3	4	2	11	5	7	10	8	18	19	13	16	4	15	18	19	15	5	4	20	16	12	7	11	9	15	11	3	2	2
16	13	7	10	13	19	8	8	16	12	6	10	19	2	4	12	11	12	3	4	2	11	5	7	10	8	18	19	13	16	4	15	18	19	15	5	4	20	16	12	7	11	9	15	11	3	2	2
10	14	10	14	3	10	12	7	14	9	6	9	11	14	8	19	10	17	2	13	10	17	7	9	18	7	8	9	9	7	18	2	16	8	3	12	7	10	18	16	8	14	19	20	4	5	6	4
10	14	10	14	3	10	12	7	14	9	6	9	11	14	8	19	10	17	2	13	10	17	7	9	18	7	8	9	9	7	18	2	16	8	3	12	7	10	18	16	8	14	19	20	4	5	6	4
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
8	20	15	20	10	16	17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8
3	13	15	6	8	16	15	6	13	11	7	12	15	14	2	15	10	19	19	16	3	20	5	15	14	7	2	18	6	18	6	4	12	9	7	9	2	7	19	7	4	15	5	16	6	3	10	12
3	13	15	6	8	16	15	6	13	11	7	12	15	14	2	15	10	19	19	16	3	20	5	15	14	7	2	18	6	18	6	4	12	9	7	9	2	7	19	7	4	15	5	16	6	3	10	12
3	13	15	6	8	16	15	6	13	11	7	12	15	14	2	15	10	19	19	16	3	20	5	15	14	7	2	18	6	18	6	4	12	9	7	9	2	7	19	7	4	15	5	16	6	3	10	12
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
10	4	12	12	19	11	3	9	18	6	10	3	14	15	10	20	9	10	12	19	17	16	5	15	13	7	18	3	9	17	14	2	9	4	11	5	7	6	16	2	13	18	15	5	18	9	17	11
9	4	18	12	20	12	17	7	7	13	20	11	16	14	14	12	15	18	6	8	7	6	14	14	19	7	13	3	2	5	7	4	15	20	20	15	19	9	2	16	5	17	12	14	17	16	4	5
17	8	9	17	20	16	4	19	11	17	14	2	5	6	5	12	8	11	19	5	19	11	4	16	19	17	12	15	5	7	16	7	7	16	10	7	19	17	6	19	14	6	5	5	19	4	16	8
14	15	3	10	18	17	14	11	17	13	20	8	18	6	11	6	5	10	19	6	11	5	4	12	17	19	5	13	15	12	8	19	17	16	18	10	3	19	2	4	14	2	17	12	9	12	4	8
14	15	3	10	18	17	14	11	17	13	20	8	18	6	11	6	5	10	19	6	11	5	4	12	17	19	5	13	15	12	8	19	17	16	18	10	3	19	2	4	14	2	17	12	9	12	4	8
14	15	3	10	18	17	14	11	17	13	20	8	18	6	11	6	5	10	19	6	11	5	4	12	17	19	5	13	15	12	8	19	17	16	18	10	3	19	2	4	14	2	17	12	9	12	4	8
3	17	15	6	17	4	6	13	15	3	16	14	16	3	5	17	6	2	3	6	12	5	19	13	8	14	17	5	3	16	12	5	11	6	14	11	5	18	8	3	14	16	13	8	16	13	4	3
6	18	5	8	11	18	20	3	6	13	3	12	7	16	14	5	15	17	7	7	14	12	16	14	8	12	4	18	19	18	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16
6	18	5	8	11	18	20	3	6	13	3	12	7	16	14	5	15	17	7	7	14	12	16	14	8	12	4	18	19	18	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16
14	2	15	15	20	12	9	6	13	18	8	19	14	4	6	15	20	13	5	15	15	9	17	14	9	14	9	17	14	20	4	10	10	18	13	19	2	17	9	10	3	12	14	5	19	3	6	14
14	2	15	15	20	12	9	6	13	18	8	19	14	4	6	15	20	13	5	15	15	9	17	14	9	14	9	17	14	20	4	10	10	18	13	19	2	17	9	10	3	12	14	5	19	3	6	14
6	17	11	2	9	15	14	9	7	12	17	20	5	11	11	16	19	8	20	9	14	18	11	17	9	12	18	15	4	15	12	14	18	19	18	16	16	13	19	10	8	5	9	5	7	13	2	8
3	13	15	6	8	16	15	6	13	11	7	12	15	14	2	15	10	19	19	16	6	20	5	15	14	7	2	18	6	18	6	4	12	9	7	9	2	7	19	7	4	15	5	16	6	3	10	12
5	17	11	5	16	6	13	9	7	12	17	9	5	14	14	16	18	16	20	9	14	18	11	17	9	12	18	2	4	17	12	14	9	15	3	20	3	15	4	10	8	12	7	5	7	13	2	9
15	9	3	10	10	14	5	13	11	13	8	19	19	3	12	18	19	2	7	17	2	10	12	6	13	5	19	15	4	10	20	5	18	4	20	6	17	3	18	9	13	5	19	8	7	9	14	8
14	2	3	17	4	13	11	6	3	9	15	4	4	14	12	13	17	8	2	8	18	11	19	17	3	19	20	19	10	3	16	14	5	14	4	14	4	2	10	3	10	19	11	6	11	13	12	14
14	2	3	17	4	13	11	6	3	9	15	4	4	14	12	13	17	8	2	8	18	11	19	17	3	19	20	19	10	3	16	14	5	14	4	14	4	2	10	3	10	19	11	6	11	13	12	14
12	5	17	5	17	15	3	11	12	6	7	20	14	4	4	4	8	9	3	14	2	5	14	19	18	11	16	17	20	8	15	4	13	9	10	20	7	15	8	13	5	4	2	18	16	8	5	17
12	5	17	5	17	15	3	11	12	6	7	20	14	4	4	4	8	9	3	14	2	5	14	19	18	11	16	17	20	8	15	4	13	9	10	20	7	15	8	13	5	4	2	18	16	8	5	17
12	5	17	5	17	15	3	11	12	6	7	20	14	4	4	4	8	9	3	14	2	5	14	19	18	11	16	17	20	8	15	4	13	9	10	20	7	15	8	13	5	4	2	18	16	8	5	17
12	5	17	5	17	15	3	11	12	6	7	20	14	4	4	4	8	9	3	14	2	5	14	19	18	11	16	17	20	8	15	4	13	9	10	20	7	15	8	13	5	4	2	18	16	8	5	17
6	19	11	15	14	19	3	16	19	6	19	6	8	20	7	4	20	17	11	10	10	8	14	2	3	18	4	2	11	6	6	18	6	5	12	2	12	6	12	20	4	4	13	8	10	16	12	17
6	19	11	15	14	19	3	16	19	6	19	6	8	20	7	4	20	17	11	10	10	8	14	2	3	18	4	2	11	6	6	18	6	5	12	2	12	6	12	20	4	4	13	8	10	16	12	17
6	19	11	15	14	19	3	16	19	6	19	6	8	20	7	4	20	17	11	10	10	8	14	2	3	18	4	2	11	6	6	18	6	5	12	2	12	6	12	20	4	4	13	8	10	16	12	17
6	19	11	15	14	19	3	16	19	6	19	6	8	20	7	4	20	17	11	10	10	8	14	2	3	18	4	2	11	6	6	18	6	5	12	2	12	6	12	20	4	4	13	8	10	16	12	17
3	16	7	5	17	4	6	13	15	3	16	14	15	8	7	17	6	5	13	9	13	10	19	13	9	16	16	3	13	17	11	5	6	4	16	11	5	18	14	5	14	16	13	16	15	13	4	13
10	11	7	7	20	9	6	6	9	10	17	11	6	10	8	4	6	15	7	8	20	2	13	19	17	6	10	4	10	9	2	6	8	20	2	15	6	6	17	19	3	18	12	9	7	16	12	16
10	11	7	7	20	9	6	6	9	10	17	11	6	10	8	4	6	15	7	8	20	2	13	19	17	6	10	4	10	9	2	6	8	20	2	15	6	6	17	19	3	18	12	9	7	16	12	16
10	11	7	7	20	9	6	6	9	10	17	11	6	10	8	4	6	15	7	8	20	2	13	19	17	6	10	4	10	9	2	6	8	20	2	15	6	6	17	19	3	18	12	9	7	16	12	16
8	12	5	4	12	12	19	16	12	10	2	18	3	8	13	4	8	18	13	8	8	10	11	11	18	14	10	17	13	9	3	11	19	4	2	19	17	16	3	15	17	16	20	7	4	4	9	5
