a0	a1
177.550	132.550
177.550	132.550
129.550	133.690
124.970	231.030
247.450	133.230
131.330	161.730
131.330	161.730
147.690	141.770
238.110	134.990
133.910	147.830
154.550	138.860
139.570	158.090
139.570	158.090
136.170	184.430
136.170	184.430
177.910	142.110
174.870	153.430
174.870	153.430
176.990	147.110
229.830	138.970
150.010	182.410
150.010	182.410
151.550	158.510
144.550	205.550
212.110	152.270
232.050	145.530
232.050	145.530
232.130	139.210
232.130	139.210
177.010	171.290
196.730	169.330
168.400	198.070
168.350	204.850
176.290	186.550
157.990	211.870
157.990	211.870
148.610	211.910
148.610	211.910
146.430	236.630
146.430	236.630
230.150	153.290
251.210	149.440
189.170	184.710
208.510	175.810
208.510	175.810
206.600	176.350
206.600	176.350
172.070	199.650
169.650	206.230
169.650	206.230
158.950	232.470
163.130	227.810
146.740	305.910
153.950	246.830
154.530	243.910
158.510	240.770
230.650	160.400
201.930	187.150
201.930	187.150
218.290	176.210
218.290	176.210
213.550	179.910
213.550	179.910
169.730	207.610
154.470	261.610
156.670	260.230
156.670	260.230
157.930	258.390
159.310	244.590
162.330	243.240
162.330	243.240
268.030	161.830
268.030	161.830
252.800	172.530
221.910	177.470
155.030	263.750
186.310	245.510
186.830	209.990
170.830	253.360
213.910	185.900
