Objective0,Objective1,generation
86.880,168.600,1
69.900,274.540,1
83.830,210.880,1
48.820,171.140,1
132.920,232.860,1
99.960,259.720,1
96.400,259.560,1
96.000,236.000,1
87.100,194.980,1
65.340,158.860,1
75.520,185.060,1
74.880,287.650,1
116.690,161.750,1
47.440,190.960,1
69.960,222.610,1
116.320,257.500,1
82.440,283.020,1
114.060,175.680,1
95.460,148.020,1
86.000,250.750,1
144.740,231.560,1
81.360,211.540,1
63.280,324.780,1
51.400,203.620,1
108.560,244.020,1
48.140,249.460,1
105.060,193.560,1
100.520,132.120,1
42.780,149.740,1
76.820,240.280,1
110.540,243.040,1
43.560,157.320,1
99.300,202.640,1
65.020,183.120,1
104.740,187.780,1
114.780,226.140,1
110.400,178.340,1
82.300,226.540,1
170.350,184.490,1
96.320,278.290,1
81.920,191.560,1
98.800,265.460,1
91.200,185.140,1
55.760,242.420,1
72.320,231.220,1
104.980,191.940,1
73.980,200.800,1
80.760,303.640,1
137.020,206.620,1
82.780,148.440,1
122.130,221.740,1
110.120,184.480,1
63.320,176.470,1
88.020,227.220,1
71.120,245.920,1
108.640,162.780,1
108.180,242.960,1
71.380,284.420,1
118.680,166.680,1
76.410,113.780,1
84.420,217.140,1
49.840,242.500,1
73.780,229.600,1
69.500,261.200,1
99.300,220.680,1
77.320,213.340,1
108.120,239.470,1
63.380,209.300,1
71.540,233.380,1
79.960,239.740,1
93.860,220.030,1
88.360,283.590,1
57.720,269.700,1
121.420,282.200,1
146.240,229.320,1
76.840,228.180,1
162.880,314.430,1
115.500,179.470,1
86.760,226.740,1
78.540,233.340,1
42.780,149.740,2
42.780,149.740,2
76.410,113.780,2
76.410,113.780,2
43.560,157.320,2
43.560,157.320,2
90.940,144.060,2
100.520,132.120,2
82.780,148.440,2
48.820,171.140,2
65.340,158.860,2
47.440,190.960,2
95.460,148.020,2
95.460,148.020,2
65.100,173.120,2
63.320,176.470,2
86.880,168.600,2
51.400,203.620,2
48.140,249.460,2
49.840,242.500,2
110.640,160.020,2
103.980,166.520,2
108.640,162.780,2
65.020,183.120,2
61.240,211.740,2
51.680,238.420,2
63.090,209.260,2
116.690,161.750,2
110.400,178.340,2
110.400,178.340,2
114.060,175.680,2
79.880,184.000,2
70.920,195.100,2
75.520,185.060,2
55.760,242.420,2
63.380,209.300,2
118.680,166.680,2
115.080,183.280,2
115.500,179.470,2
110.120,184.480,2
73.980,200.800,2
73.980,200.800,2
89.800,190.220,2
91.200,185.140,2
91.200,185.140,2
81.920,191.560,2
57.720,269.700,2
67.840,219.320,2
170.350,184.490,2
78.720,201.090,2
77.320,213.340,2
104.740,187.780,2
94.620,192.540,2
87.100,194.980,2
59.500,271.940,2
72.720,221.200,2
69.960,222.610,2
69.500,261.200,2
81.360,211.540,2
81.360,211.540,2
83.830,210.880,2
83.830,210.880,2
104.980,191.940,2
104.980,191.940,2
88.000,204.220,2
95.160,197.060,2
60.080,276.000,2
72.320,231.220,2
72.320,231.220,2
71.120,245.920,2
71.120,245.920,2
73.780,229.600,2
73.780,229.600,2
71.540,233.380,2
71.540,233.380,2
76.840,228.180,2
76.840,228.180,2
69.900,274.540,2
69.900,274.540,2
105.060,193.560,2
